trial,k,target_index,expected_sample,expected_ms,expected_m,sh_found_sample,sh_found_ms,sh_norm_amp,sh_detected,sh_time_error_ms,rn_found_sample,rn_found_ms,rn_norm_amp,rn_detected,rn_time_error_ms
13,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.6859490210852668,True,0.00024000000000000003,72,0.00144,1.675805384850703,True,0.00024000000000000003
13,1,0,72,0.00144,216.0,72,0.00144,1.01156941265116,True,0.0,72,0.00144,1.0054832309104218,True,0.0
13,1,1,76,0.00152,228.0,72,0.00144,1.26446176581395,True,-8e-05,72,0.00144,1.2568540386380271,True,-8e-05
13,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.7746695196874471,True,0.00024000000000000003,124,0.00248,1.4964412026347127,True,0.00024000000000000003
13,2,0,124,0.00248,372.0,124,0.00248,1.0648017118124682,True,0.0,124,0.00248,0.8978647215808275,True,0.0
13,2,1,128,0.00256,384.0,124,0.00248,1.3310021397655851,True,-8e-05,124,0.00248,1.1223309019760344,True,-8e-05
13,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.0263021732093358,True,0.0,164,0.0032800000000000004,0.8838568215246012,True,0.0
14,0,0,20,0.0004,60.0,20,0.0004,0.9966839460739825,True,0.0,20,0.0004,0.9092891036190354,True,0.0
14,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.245854932592478,True,-8e-05,20,0.0004,1.1366113795237942,True,-8e-05
14,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.6139603724272642,True,0.00024000000000000003,72,0.00144,1.6711958638563793,True,0.00024000000000000003
14,1,0,72,0.00144,216.0,72,0.00144,0.9683762234563585,True,0.0,72,0.00144,1.0027175183138275,True,0.0
14,1,1,76,0.00152,228.0,72,0.00144,1.210470279320448,True,-8e-05,72,0.00144,1.2533968978922843,True,-8e-05
14,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.6225060840131986,True,0.00024000000000000003,124,0.00248,1.7751902102118948,True,0.00024000000000000003
14,2,0,124,0.00248,372.0,124,0.00248,0.9735036504079191,True,0.0,124,0.00248,1.0651141261271369,True,0.0
14,2,1,128,0.00256,384.0,124,0.00248,1.2168795630098987,True,-8e-05,124,0.00248,1.331392657658921,True,-8e-05
14,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.0806545663987421,True,0.0,164,0.0032800000000000004,1.0472290616604578,True,0.0
15,0,0,20,0.0004,60.0,20,0.0004,0.9104263245239811,True,0.0,20,0.0004,1.005894719544878,True,0.0
15,0,1,24,0.00048000000000000007,72.0,20,0.0004,1.1380329056549763,True,-8e-05,20,0.0004,1.2573683994310973,True,-8e-05
15,0,2,60,0.0012000000000000001,180.0,72,0.00144,1.5672353692387262,True,0.00024000000000000003,72,0.00144,1.652558704262529,True,0.00024000000000000003
15,1,0,72,0.00144,216.0,72,0.00144,0.9403412215432356,True,0.0,72,0.00144,0.9915352225575174,True,0.0
15,1,1,76,0.00152,228.0,72,0.00144,1.1754265269290445,True,-8e-05,72,0.00144,1.2394190281968966,True,-8e-05
15,1,2,112,0.0022400000000000002,336.0,124,0.00248,1.681144992477092,True,0.00024000000000000003,124,0.00248,1.5340995628650553,True,0.00024000000000000003
15,2,0,124,0.00248,372.0,124,0.00248,1.0086869954862552,True,0.0,124,0.00248,0.9204597377190331,True,0.0
15,2,1,128,0.00256,384.0,124,0.00248,1.260858744357819,True,-8e-05,124,0.00248,1.1505746721487913,True,-8e-05
15,2,2,164,0.0032800000000000004,492.0,164,0.0032800000000000004,1.1065484158149717,True,0.0,164,0.0032800000000000004,0.9204865662122405,True,0.0
