trial,target_index,expected_sample,expected_ms,expected_m,sh_detected,sh_norm_amp,sh_false_alarms,rn_detected,rn_norm_amp,rn_false_alarms
24,2,60,0.0012,180.0,True,1.5407693901944568,5,True,1.7487187146710197,6
25,0,20,0.0004,60.0,True,1.101251907894845,6,True,1.1286872668154142,7
25,1,24,0.00048,72.0,True,1.3765648848685563,6,True,1.4108590835192676,7
25,2,60,0.0012,180.0,True,1.5935551934591259,6,True,1.4051149735481714,7
26,0,20,0.0004,60.0,True,0.7317179749906804,4,True,0.6746443116023649,5
26,1,24,0.00048,72.0,True,0.9146474687383505,4,True,0.8433053895029561,5
26,2,60,0.0012,180.0,True,1.2217875833600562,4,True,1.5834154714739201,5
27,0,20,0.0004,60.0,True,1.2740841265529375,5,True,0.874365764809786,9
27,1,24,0.00048,72.0,True,1.5926051581911718,5,True,1.0929572060122323,9
27,2,60,0.0012,180.0,True,1.6383103241725958,5,True,1.8279518157922268,9
28,0,20,0.0004,60.0,True,1.1140296354429866,4,True,0.9182260149909394,7
28,1,24,0.00048,72.0,True,1.3925370443037333,4,True,1.147782518738674,7
28,2,60,0.0012,180.0,True,2.2967026429883615,4,True,1.6581501890816186,7
29,0,20,0.0004,60.0,True,1.051732684717051,6,True,1.1393880293537764,5
29,1,24,0.00048,72.0,True,1.3146658558963136,6,True,1.4242350366922203,5
29,2,60,0.0012,180.0,True,1.9687847757878345,6,True,1.4451515776470274,5
30,0,20,0.0004,60.0,True,0.8947011430996187,5,True,0.9233545140491884,6
30,1,24,0.00048,72.0,True,1.1183764288745233,5,True,1.1541931425614855,6
30,2,60,0.0012,180.0,True,1.9626182377955124,5,True,1.762890651401518,6
31,0,20,0.0004,60.0,True,0.8135149194081314,5,True,1.0548762687825488,4
31,1,24,0.00048,72.0,True,1.0168936492601641,5,True,1.318595335978186,4
31,2,60,0.0012,180.0,True,1.5177714000323328,5,True,1.7240250882966472,4
32,0,20,0.0004,60.0,True,1.0781125709243669,6,True,0.9797093837699242,6
32,1,24,0.00048,72.0,True,1.3476407136554585,6,True,1.2246367297124052,6
32,2,60,0.0012,180.0,True,1.8959721279677044,6,True,1.676602310322192,6
33,0,20,0.0004,60.0,True,0.8341449565258531,5,True,1.1195792542724439,4
33,1,24,0.00048,72.0,True,1.0426811956573163,5,True,1.3994740678405548,4
33,2,60,0.0012,180.0,True,1.6727363369117592,5,True,1.4632028369255756,4
34,0,20,0.0004,60.0,True,1.0490657874587563,4,True,0.8393178176228884,7
34,1,24,0.00048,72.0,True,1.3113322343234453,4,True,1.0491472720286104,7
34,2,60,0.0012,180.0,True,1.5179780358647208,4,True,2.0132189757761383,7
35,0,20,0.0004,60.0,True,1.0850909386718632,5,True,1.0738061084426618,7
35,1,24,0.00048,72.0,True,1.356363673339829,5,True,1.342257635553327,7
